0,01442,Biji mustard,
0,01443,Biji lobak atau colza,
0,01444,Biji wijen,
0,01445,Biji bunga matahari,
0,01446,Biji safflower,
0,01449,"Biji-bijian yang mengandung minyak lainnya, Ytdl",
0,01450,Buah zaitun,
0,01460,"Buah kelapa, berkulit",
0,01491,Buah dan kernel kelapa sawit,
0,01499,"Buah yang mengandung minyak lainnya, Ytdl",
0,01510,Kentang,
0,01591,Ubi jalar,
0,01592,Ubi kayu,
0,01593,Yam,
0,01599,"Akar-akaran dan umbi-umbian lainnya yang dapat dimakan dengan karbohidrat atau berinulin tinggi, Ytdl",
0,01610,"Kopi, hijau",
0,01620,Daun teh,
0,01630,Daun mate,
0,01640,Kakao,
0,01651,"Lada, mentah",
0,01652,"Cabe dan paprika, kering, mentah",
0,01653,"Biji pala, bunga pala, kapulaga, mentah",
0,01654,"Adas, badian, ketumbar, jinten hitam, caraway, adas pedas dan buah juniper, mentah",
0,01655,"Kayu manis (canella), mentah",
0,01656,"Cengkeh (tangkai utuh), mentah",
0,01657,"Jahe, mentah",
0,01658,"Panili, mentah",
0,01659,Kerucut buah hop,
0,01690,"Tanaman stimulan, rempah-rempah dan aromatik, Ytdl",
0,01701,"Kacang, kering",
0,01702,"Kacang babi, kering",
0,01703,"Chick peas, kering",
0,01704,"Miju-miju, kering",
0,01705,"Kacang kapri, kering",
0,01709,"Pulse, Ytdl",
0,01801,Bit gula,
0,01802,Tebu,
0,01803,Biji bit gula,
0,01809,"Tanaman lain yang menghasilkan gula, Ytdl",
0,01911,Jagung untuk pakan dan makanan ternak yang disimpan di ruang kedap udara,
0,01912,Tanaman alfalfa untuk pakan dan makanan ternak yang disimpan di ruang kedap udara,
0,01913,"Jerami, sekam dari serealia, yang belum diolah, ditumbuk, dipadatkan, atau dalam bentuk pellet",
0,01919,"Produk makanan ternak, Ytdl",
0,01921,"Kapas, dipisahkan ataupun tidak dipisahkan dari biji kapas",
0,01922,"Goni, kenaf dan serat tekstil kulit pohon lainnya, mentah atau diproses tanpa dipintal, kecuali batang lenan, henep asli dan rami",
0,01929,"Tanaman serat lainnya, kering, ytdl",
0,01930,"Tanaman dan bagiannya yang terutama dipakai dalam pembuatan wewangian, dalam farmasi atau untuk insektisida, fungisida atau untuk tujuan yang semacam itu",
0,01940,Bibit bit (tidak termasuk biji gula bit) dan bibit dari tanaman makanan ternak,
0,01950,"Karet alam dalam bentuk asalnya atau lempengan, lembaran atau strip",
0,01961,"Tanaman hidup, umbi-umbian dan akar-akaran, potongan dan cangkokan, sulur jamur",
0,01962,"Bunga dan kuncup bunga potong termasuk karangan bunga, rangkaian bunga, bunga keranjang dan barang sejenisnya",
0,01963,Bibit bunga,
0,01970,Tembakau belum diolah,
0,01990,"Bahan baku nabati lainnya, ytdl",
0,02111,Sapi,
0,02112,Kerbau,
0,02121,Unta dan camelid,
0,02122,Biri-biri,
0,02123,Kambing,
0,02129,"Pemamah biak lain, ytdl",
0,02130,Kuda dan Equines lainnya,
0,02140,Babi,
0,02151,Ayam,
0,02152,Kalkun,
0,02153,Angsa,
0,02154,Bebek,
0,02155,Ayam Guinea,
0,02191,Kelinci dan Hare,
0,02192,Binatang menyusui lainnya,
0,02193,Burung unta dan emu,
0,02194,Burung lainnya,
0,02195,Binatang melata,
0,02196,Lebah,
0,02199,"Binatang hidup lain, Ytdl",
0,02211,Susu segar dari sapi perah,
0,02212,Susu segar dari kerbau,
0,02291,Susu segar dari domba,
0,02292,Susu segar dari kambing,
0,02293,Susu segar dari unta,
0,02299,"Susu segar lainnya, Ytdl",
0,02310,"Telur ayam berkulit, segar",
0,02320,"Telur dari burung lain berkulit, segar, Ytdl",
0,02330,Telur untuk ditetaskan,
0,02411,Mani dari binatang sejenis lembu,
0,02419,"Mani, Ytdl",
0,02420,Embrio,
0,02910,Madu alam,
0,02920,"Siput, segar, dingin, beku, kering, diasinkan atau dalam air garam, kecuali siput laut",
0,02930,"Produk yang dapat dimakan berasal dari hewan, ytdl",
0,02941,"Wol cukur, berlemak, termasuk wol cukur fleece-washed",
0,02942,"Wol cabut, berlemak, termasuk wol cabut fleece-washed; bulu hewan kasar",
0,02943,"Bulu hewan halus, tidak digaruk atau disisir",
0,02944,Kepompong ulat sutra cocok untuk digulung,
0,02951,Jangat dan kulit mentah dari binatang sejenis lembu,
0,02952,Jangat dan kulit mentah dari binatang sejenis kuda,
0,02953,Jangat dan kulit mentah dari binatang domba atau biri-biri,
0,02954,Jangat dan kulit mentah dari binatang kambing atau anak kambing,
0,02955,"Kulit berbulu, mentah",
0,02959,Kulit mentah dari binatang lainnya,
0,02960,"Malam serangga dan spermaceti, dimurnikan atau diwarnai maupun tidak",
0,03110,Kayu gelondongan dari pohon jenis konifera,
0,03120,Kayu gelondongan dari pohon bukan jenis konifera,
0,03130,"Kayu bakar, berbentuk log, billet, ranting, ikatan atau cabang atau dalam bentuk semacam itu",
0,03211,"Balata, getah perca, guayule, chicle dan getah alam semacamnya dalam bentuk asal atau pelat, lembaran atau strip",
0,03219,"Lak, damar, getah balsem, getah alam dan damar lainnya, ytdl",
0,03220,"Gabus alam, mentah atau diolah sederhana",
0,03230,Hasil hutan yang tumbuh liar yang dapat dimakan,
0,03241,Pohon cemara,
0,03249,"Bagian lainnya dari tanaman, tanpa bunga atau kuncup bunga, dan rumput, lumut  mosse dan lumut lichen, untuk keperluan pajangan",
